timestamp,DE_LU,NL,FR
2024-12-24 21:00:00+00:00,99.04,99.04,99.04
2024-12-24 22:00:00+00:00,90.0,90.0,90.0
2024-12-24 23:00:00+00:00,91.37,91.37,91.37
2024-12-25 00:00:00+00:00,86.44,86.44,86.44
2024-12-25 01:00:00+00:00,85.07,85.07,85.07
2024-12-25 02:00:00+00:00,80.81,80.81,80.81
2024-12-25 03:00:00+00:00,75.99,75.99,75.99
2024-12-25 04:00:00+00:00,80.81,80.81,80.81
2024-12-25 05:00:00+00:00,83.01,83.01,83.01
2024-12-25 06:00:00+00:00,84.94,84.94,84.94
2024-12-25 07:00:00+00:00,90.21,90.21,90.21
2024-12-25 08:00:00+00:00,99.24,99.24,99.24
2024-12-25 09:00:00+00:00,93.56,93.56,93.56
2024-12-25 10:00:00+00:00,92.55,92.55,92.55
2024-12-25 11:00:00+00:00,94.41,94.41,94.41
2024-12-25 12:00:00+00:00,91.03,91.03,91.01
2024-12-25 13:00:00+00:00,99.17,99.17,85.08
2024-12-25 14:00:00+00:00,112.69,110.0,92.55
2024-12-25 15:00:00+00:00,118.01,116.71,108.27
2024-12-25 16:00:00+00:00,120.53,120.52,120.5
2024-12-25 17:00:00+00:00,119.11,119.1,119.07
2024-12-25 18:00:00+00:00,118.01,118.0,117.98
2024-12-25 19:00:00+00:00,118.33,118.32,118.29
2024-12-25 20:00:00+00:00,113.01,113.01,113.01
2024-12-25 21:00:00+00:00,114.07,114.07,114.07
2024-12-25 22:00:00+00:00,104.63,104.63,104.63
2024-12-25 23:00:00+00:00,102.17,102.17,102.17
2024-12-26 00:00:00+00:00,95.06,95.06,95.06
2024-12-26 01:00:00+00:00,94.61,94.61,94.61
2024-12-26 02:00:00+00:00,89.64,89.64,89.64
2024-12-26 03:00:00+00:00,90.87,90.87,90.87
2024-12-26 04:00:00+00:00,95.1,95.1,95.1
2024-12-26 05:00:00+00:00,99.0,99.0,99.0
2024-12-26 06:00:00+00:00,112.61,112.62,112.64
2024-12-26 07:00:00+00:00,119.1,119.18,119.44
2024-12-26 08:00:00+00:00,118.23,118.23,118.23
2024-12-26 09:00:00+00:00,113.25,113.25,113.25
2024-12-26 10:00:00+00:00,106.01,106.01,106.01
2024-12-26 11:00:00+00:00,107.71,107.71,107.71
2024-12-26 12:00:00+00:00,103.9,103.9,103.9
2024-12-26 13:00:00+00:00,109.64,109.64,109.64
2024-12-26 14:00:00+00:00,120.75,120.75,120.75
2024-12-26 15:00:00+00:00,129.64,128.66,123.26
2024-12-26 16:00:00+00:00,137.9,137.9,137.9
2024-12-26 17:00:00+00:00,138.05,138.05,138.05
2024-12-26 18:00:00+00:00,135.71,135.71,135.71
2024-12-26 19:00:00+00:00,129.13,129.13,129.13
2024-12-26 20:00:00+00:00,120.85,120.85,120.85
2024-12-26 21:00:00+00:00,123.5,123.5,123.5
2024-12-26 22:00:00+00:00,116.98,116.98,116.98
2024-12-26 23:00:00+00:00,106.79,106.79,106.79
2024-12-27 00:00:00+00:00,101.52,101.52,101.52
2024-12-27 01:00:00+00:00,101.03,101.03,101.03
